Sample Name,COSMIC identifier,Whole Exome Sequencing (WES),Copy Number Alterations (CNA),Gene Expression,Methylation,"Drug
NCI-H196,1240186,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Adherent
NCI-H1963,688010,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
NCI-H2029,688011,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent
NCI-H2066,1330973,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent
NCI-H209,688013,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
NCI-H211,1240189,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Adherent
NCI-H2141,688014,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension
NCI-H2196,908481,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Adherent
NCI-H2227,688018,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent
NCI-H250,924241,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
NCI-H345,688021,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension
NCI-H378,688022,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
NCI-H446,688023,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent
NCI-H510A,753605,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Semi-Adherent
NCI-H524,908483,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
NCI-H526,688025,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
NCI-H64,688026,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
NCI-H69,688027,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
NCI-H748,909194,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
NCI-H82,688031,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
NCI-H841,1240192,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent
NCI-H847,1240193,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent
SBC-1,713885,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
SBC-3,753610,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent
SBC-5,713880,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent
H2369,1290808,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H2373,1290809,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H2461,1290810,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H2591,1240131,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H2595,1240132,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H2722,1290812,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H2731,1240134,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H2795,1290813,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H2803,1240135,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H2804,1240136,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H2810,1240137,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H2818,1290814,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H2869,1240138,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H290,1240139,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
H513,1240141,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Semi-Adherent
IST-MES1,907173,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,D/F12,Adherent
MPP-89,908150,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,D/F12,Adherent
MSTO-211H,908152,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
NCI-H2052,688058,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
NCI-H2452,908462,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
NCI-H28,908470,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent
42-MG-BA,687561,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent
8-MG-BA,687562,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
A172,687563,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
AM-38,910933,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Semi-Adherent
Becker,906746,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
CAS-1,910943,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
CCF-STTG1,906823,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent
D-247MG,946367,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
D-263MG,946368,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
D-336MG,946369,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
D-392MG,946370,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
D-502MG,946373,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
D-542MG,753549,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
D-566MG,946377,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
DBTRG-05MG,906835,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent
DK-MG,906839,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent
GAMG,906868,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
GB-1,687568,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
GI-1,906871,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
GMS-10,906873,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
H4,907042,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
Hs683,1240150,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
KALS-1,907271,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,R,Adherent
KINGS-1,907279,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,R,Adherent
KNS-42,907282,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
KNS-81-FD,924188,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
KS-1,907313,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
LN-18,1240168,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
LN-229,1240169,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
LN-405,910694,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
LNZTA3WT4,1240170,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
M059J,949094,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
MOG-G-CCM,908144,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
MOG-G-UVW,908145,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
NMC-G1,908449,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
no-10,908452,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
no-11,908450,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
SF126,909712,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
SF268,905986,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent
SF295,905985,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
SF539,905984,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,R,Adherent
SK-MG-1,909729,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent
SNB75,905982,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent
SW1088,909745,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
SW1783,909750,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent
T98G,687586,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
U-118-MG,687588,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
U251,905983,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
U-87-MG,687590,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
YH-13,909905,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
YKG-1,687592,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
D-283MED,906834,Y,Y,Y,Y,Y,nervous_system,medulloblastoma,MB,MSS/MSI-L,D/F12,Adherent
Daoy,906833,Y,Y,Y,Y,Y,nervous_system,medulloblastoma,MB,MSS/MSI-L,D/F12,Adherent
ONS-76,909248,Y,Y,Y,Y,Y,nervous_system,medulloblastoma,MB,MSS/MSI-L,R,Adherent
PFSK-1,683667,Y,Y,Y,Y,Y,nervous_system,medulloblastoma,MB,MSS/MSI-L,R,Adherent
BE2-M17,753616,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
CHP-126,910567,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Suspension
CHP-134,910941,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Suspension
CHP-212,906820,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
GI-ME-N,906872,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent
GOTO,906875,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent
IMR-5,907170,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent
KELLY,753618,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent
KP-N-YN,907314,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent
LAN-6,949170,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent
MHH-NB-11,908135,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent
NB(TU)1-10,1240181,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent
NB1,949179,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Semi-Adherent
NB10,949171,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
NB12,949172,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
NB13,949177,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
NB14,949178,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
NB17,949175,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
NB5,949176,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
NB6,949173,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
NB69,908440,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
NB7,949174,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
NH-12,908447,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
SIMA,753620,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent
SK-N-AS,724828,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
SK-N-DZ,688086,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
SK-N-FI,688087,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
SK-N-SH,717431,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
TGW,910780,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
AsPC-1,910702,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
BxPC-3,906693,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
CAPAN-1,753624,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent
Capan-2,910915,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
CFPAC-1,906821,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
DAN-G,1290797,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
HPAC,1298136,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent
HPAF-II,724869,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent
Hs766T,1298141,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent
HuP-T3,907285,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
HuP-T4,907286,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent
KP-1N,1298216,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
KP-3,1298219,Y,Y,Y,Y,Y,pancreas,pancreas,UNABLE TO CLASSIFY,MSS/MSI-L,R,Adherent
KP-4,753572,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent
MIA-PaCa-2,724870,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent
MZ1-PC,753595,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
PANC-02-03,1298475,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
PANC-03-27,925346,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
PANC-04-03,1298476,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
PANC-08-13,925347,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
PANC-10-05,925348,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
PA-TU-8902,1298526,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent
PA-TU-8988T,1240201,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent
PL18,1240208,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent
PL4,1298533,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent
PSN1,910546,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
QGP-1,1298534,Y,Y,Y,Y,Y,pancreas,pancreas,,MSS/MSI-L,R,Adherent
SU8686,1240218,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
SUIT-2,1240219,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
SW1990,910907,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent
YAPC,909904,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent
451Lu,1287706,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
A101D,910921,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
A2058,906792,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
A375,906793,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
C32,906830,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
CHL-1,910853,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
COLO-679,906818,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
COLO-792,906814,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
COLO-800,906813,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
COLO-829,687448,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
CP50-MEL-B,753545,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
CP66-MEL,753546,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
G-361,906865,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
GAK,910932,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
G-MEL,1240130,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
HMV-II,907058,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
Hs940-T,1298145,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
HT-144,907067,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
IGR-1,907169,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
IGR-37,1240153,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
IPC-298,907171,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
IST-MEL1,907172,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
LB2518-MEL,753579,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
LB373-MEL-D,753581,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
LOXIMVI,905974,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Semi-Adherent
M14,905975,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
MEL-HO,908124,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
MEL-JUSO,908125,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
Mewo,908128,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
MMAC-SF,925339,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
MZ2-MEL,971777,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
MZ7-mel,753596,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
RPMI-7951,910903,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
RVH-421,909706,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
SH-4,909713,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
SK-MEL-1,909723,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Suspension
SK-MEL-2,905955,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSI-H,R,Adherent
SK-MEL-24,909725,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
SK-MEL-28,905954,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
SK-MEL-3,909724,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
SK-MEL-30,909726,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
SK-MEL-31,909727,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
SK-MEL-5,905956,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
UACC-257,905977,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
UACC-62,905976,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
WM-115,909784,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
WM1552C,1299078,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
WM278,1240226,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
WM35,1299080,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
WM793B,1299081,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
A388,910697,Y,Y,Y,Y,Y,skin,skin_other,,MSS/MSI-L,D/F12,Adherent
A431,910925,Y,Y,Y,Y,Y,skin,skin_other,,MSS/MSI-L,D/F12,Adherent
