Sample Name,COSMIC identifier,Whole Exome Sequencing (WES),Copy Number Alterations (CNA),Gene Expression,Methylation,"Drug
DJM-1,906841,Y,Y,Y,Y,Y,skin,skin_other,,MSS/MSI-L,D/F12,Adherent
HT-1080,907064,Y,Y,Y,Y,Y,soft_tissue,fibrosarcoma,,MSS/MSI-L,D/F12,Adherent
SW684,909754,Y,Y,Y,Y,Y,soft_tissue,fibrosarcoma,,MSS/MSI-L,D/F12,Adherent
A204,910784,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,R,Adherent
A673,684052,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,D/F12,Adherent
KYM-1,1240166,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,D/F12,Adherent
RD,909264,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,D/F12,Adherent
RH-1,971773,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,R,Adherent
RH-18,971774,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,R,Adherent
RH-41,1240210,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,R,Adherent
SJRH30,909716,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,R,Adherent
TE-441-T,924248,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,D/F12,Adherent
G-402,907298,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,R,Adherent
GCT,906999,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,R,Adherent
MFH-ino,925343,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,D/F12,Adherent
SK-LMS-1,909720,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,D/F12,Adherent
SK-UT-1,909732,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSI-H,D/F12,Adherent
SW872,909756,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,D/F12,Adherent
SW982,909759,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,D/F12,Adherent
VA-ES-BJ,688121,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,D/F12,Adherent
8305C,906795,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,R,Adherent
8505C,924102,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,R,Adherent
ASH-3,1290722,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent
BCPAP,924104,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,R,Adherent
BHT-101,906696,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent
CAL-62,906828,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent
CGTH-W-1,910568,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,R,Adherent
FTC-133,906864,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent
HTC-C3,924151,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent
IHH-4,1240154,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Semi-Adherent
K5,924238,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent
ML-1,1240178,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent
RO82-W-1,930083,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent
TT,930299,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent
TT2609-C02,1240223,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,R,Adherent
5637,687452,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,R,Adherent
639-V,906798,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
647-V,906797,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
BFTC-905,910926,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
CAL-29,1290730,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
DSH1,753552,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,R,Adherent
HT-1197,907065,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
HT-1376,907066,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
J82,753566,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
KU-19-19,907312,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,R,Adherent
LB831-BLC,753584,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
RT-112,909704,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,R,Adherent
RT4,687455,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
SW1710,909749,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
SW780,687457,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
T-24,724812,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
TCCSUP,687459,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
UM-UC-3,724838,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
VM-CUB-1,909780,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent
C-33-A,687505,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSI-H,D/F12,Adherent
C-4-I,687506,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent
CAL-39,924107,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent
Ca-Ski,906824,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,R,Adherent
DoTc2-4510,906843,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent
HeLa,1298134,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent
HT-3,907068,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,R,Adherent
ME-180,687514,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent
MS751,1240179,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent
SiHa,930297,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent
SISO,1240212,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,R,Adherent
SKG-IIIa,930298,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent
SW756,724839,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent
TC-YIK,946357,Y,Y,Y,Y,Y,urogenital_system,cervix,,MSS/MSI-L,R,Suspension
AN3-CA,910781,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSI-H,D/F12,Adherent
COLO-684,910691,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSI-H,R,Suspension
EN,1240127,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSS/MSI-L,R,Adherent
ESS-1,907000,Y,Y,Y,Y,Y,urogenital_system,endometrium,,MSS/MSI-L,R,Adherent
HEC-1,907051,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSI-H,D/F12,Adherent
KLE,924187,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSS/MSI-L,D/F12,Adherent
MFE-280,908129,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSS/MSI-L,D/F12,Adherent
MFE-296,908130,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSI-H,D/F12,Adherent
MFE-319,1240174,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSI-H,D/F12,Adherent
SNG-M,909735,Y,Y,Y,Y,Y,urogenital_system,endometrium,UCEC,MSI-H,D/F12,Adherent
A2780,906804,Y,Y,Y,Y,Y,urogenital_system,ovary,UNABLE TO CLASSIFY,MSS/MSI-L,R,Semi-Adherent
Caov-4,949090,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
EFO-21,911905,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent
EFO-27,906852,Y,Y,Y,Y,Y,urogenital_system,ovary,,MSI-H,R,Adherent
ES-2,1240128,Y,Y,Y,Y,Y,urogenital_system,ovary,,MSS/MSI-L,R,Adherent
FU-OV-1,1240129,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
IGROV-1,905968,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,R,Adherent
JHOS-2,1479995,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
JHOS-3,1480358,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
JHOS-4,1480359,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
KGN,924186,Y,Y,Y,Y,Y,urogenital_system,ovary,,MSS/MSI-L,D/F12,Adherent
KURAMOCHI,909975,Y,Y,Y,Y,Y,urogenital_system,ovary,UNABLE TO CLASSIFY,MSS/MSI-L,R,Adherent
OAW-28,946360,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
OAW-42,910548,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
OC-314,909257,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,R,Adherent
OV-17R,1480361,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
OV-56,1480362,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
OV-7,1480360,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
OV-90,1240197,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
OVCA420,1480364,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
OVCAR-3,905933,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent
OVCAR-4,905990,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent
OVCAR-5,905969,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent
OVCAR-8,905991,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent
OVISE,1240198,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent
OVK-18,1480371,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,D/F12,Adherent
OVKATE,1240199,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent
OVMIU,1240200,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent
OVTOKO,1298365,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent
PA-1,909255,Y,Y,Y,Y,Y,urogenital_system,ovary,,MSS/MSI-L,D/F12,Adherent
PEO1,1480372,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent
RKN,1298539,Y,Y,Y,Y,Y,urogenital_system,ovary,,MSS/MSI-L,D/F12,Adherent
RMG-I,909699,Y,Y,Y,Y,Y,urogenital_system,ovary,,MSS/MSI-L,D/F12,Adherent
SK-OV-3,905959,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,R,Adherent
SW626,909753,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
TOV-112D,1299070,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
TOV-21G,1240222,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,D/F12,Adherent
TYK-nu,909774,Y,Y,Y,Y,Y,urogenital_system,ovary,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Adherent
UWB1.289,1480374,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
22RV1,924100,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSI-H,R,Adherent
BPH-1,924105,Y,Y,Y,Y,Y,urogenital_system,prostate,,MSS/MSI-L,R,Adherent
DU-145,905935,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSI-H,D/F12,Adherent
LNCaP-Clone-FGC,907788,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSI-H,R,Adherent
PC-3,905934,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSS/MSI-L,D/F12,Adherent
PWR-1E,1330993,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSS/MSI-L,D/F12,Adherent
VCaP,1299075,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSS/MSI-L,D/F12,Adherent
NCCIT,908441,Y,Y,Y,Y,N,urogenital_system,testis,,MSS/MSI-L,R,Adherent
NEC8,910942,Y,Y,Y,Y,Y,urogenital_system,testis,,MSS/MSI-L,R,Adherent
NTERA-2 cl.D1,908454,Y,Y,Y,Y,Y,urogenital_system,testis,,MSS/MSI-L,D/F12,Adherent
JAR,907175,Y,Y,Y,Y,Y,urogenital_system,urogenital_system_other,,MSS/MSI-L,R,Adherent
JEG-3,907176,Y,Y,Y,Y,Y,urogenital_system,urogenital_system_other,,MSS/MSI-L,D/F12,Adherent
SW954,924247,Y,Y,Y,Y,Y,urogenital_system,urogenital_system_other,,MSS/MSI-L,D/F12,Adherent
SW962,909758,Y,Y,Y,Y,Y,urogenital_system,urogenital_system_other,,MSS/MSI-L,D/F12,Adherent
MES-SA,908127,Y,Y,Y,Y,Y,urogenital_system,uterus,,MSS/MSI-L,R,Adherent
SKN,1240215,Y,Y,Y,Y,Y,urogenital_system,uterus,,MSS/MSI-L,D/F12,Adherent
DMS-79,753551,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,,R,Suspension
CMK,910566,Y,Y,Y,N,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
NB-4,1323913,Y,Y,Y,N,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension
MHH-CALL-4,908133,Y,Y,Y,Y,N,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension
BC-3,910918,Y,Y,N,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension
HT,907063,Y,Y,N,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSI-H,R,Suspension
JM1,1327768,Y,Y,Y,N,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,D/F12,Suspension
BONNA-12,906695,Y,Y,Y,Y,N,leukemia,hairy_cell_leukaemia,,MSS/MSI-L,R,Suspension
ES6,949157,Y,Y,Y,N,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent
MHH-ES-1,908134,Y,Y,N,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent
DIFI,1789883,Y,Y,N,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
NCI-H508,908442,Y,Y,N,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Semi-Adherent
SNU-283,1659929,Y,Y,Y,Y,N,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent
SW620,905962,Y,Y,Y,N,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent
JHH-2,1240157,Y,N,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent
JHH-4,1240158,Y,N,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent
RCC-JF,1524415,Y,Y,Y,N,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
SW156,1240220,Y,N,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent
HOP-62,905972,Y,Y,Y,N,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
NCI-H1437,687794,Y,Y,N,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent
PC-3 [JPC-3],1240202,Y,Y,Y,N,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent
NCI-H740,1331055,Y,Y,Y,Y,N,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
COR-L95,1297439,Y,Y,Y,N,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Adherent
HCC-33,1303901,Y,Y,N,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Adherent
NCI-H128,753597,Y,Y,N,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
NCI-H1304,753599,Y,Y,Y,N,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension
NCI-H2081,908480,Y,Y,N,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension
NCI-H2171,688015,Y,Y,N,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension
SHP-77,724872,Y,Y,Y,N,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent
SW1271,1299062,Y,Y,Y,N,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent
D-423MG,946372,Y,Y,Y,N,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
KP-N-RT-BM-1,924189,Y,Y,N,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Semi-Adherent
KP-N-YS,946363,Y,Y,N,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent
MC-IXC,908118,Y,Y,N,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent
COLO-783,1240125,Y,Y,Y,N,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent
CP67-MEL,949092,Y,Y,N,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
Hs633T,1240149,Y,N,Y,Y,Y,soft_tissue,fibrosarcoma,,MSS/MSI-L,D/F12,Adherent
KMH-2,1298167,Y,Y,N,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,R,Adherent
OMC-1,949154,Y,Y,N,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent
RL95-2,930082,Y,Y,Y,N,Y,urogenital_system,endometrium,,MSI-H,D/F12,Adherent
Caov-3,906825,Y,Y,N,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
DOV13,1479987,Y,Y,Y,N,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
Hey,1479988,Y,Y,Y,N,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent
NCI-H660,1330975,Y,Y,Y,Y,N,urogenital_system,prostate,,MSS/MSI-L,D/F12,Suspension
JHU-029,1298156,Y,Y,Y,N,Y,aero_dig_tract,head and neck,HNSC,,R,Adherent
SCC90,1299052,Y,Y,Y,N,Y,aero_dig_tract,head and neck,HNSC,,R,Adherent
MOLM-16,1330948,Y,Y,Y,N,Y,leukemia,acute_myeloid_leukaemia,LAML,,R,Suspension
OCI-LY7,1659819,Y,Y,Y,N,Y,lymphoma,B_cell_lymphoma,DLBC,,D/F12,Suspension
KMS-11,1659817,Y,Y,Y,N,Y,myeloma,myeloma,MM,,R,Suspension
CHSA0011,1290767,Y,Y,Y,N,Y,bone,chondrosarcoma,,,R,Adherent
CHSA0108,1290768,Y,Y,Y,N,Y,bone,chondrosarcoma,,,R,Adherent
JIMT-1,1298157,Y,Y,Y,N,Y,breast,breast,BRCA,,D/F12,Adherent
CL-34,1290771,Y,Y,Y,N,Y,large_intestine,large_intestine,COAD/READ,,D/F12,Adherent
VMRC-LCD,713869,Y,Y,Y,N,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,,D/F12,Adherent
K2,1298160,Y,Y,Y,N,Y,skin,melanoma,SKCM,,D/F12,Adherent
STS-0421,1299061,Y,Y,Y,N,Y,soft_tissue,soft_tissue_other,,,R,Adherent
MY-M12,1330960,Y,Y,N,N,Y,leukemia,leukemia,ALL,MSS/MSI-L,R,Suspension
TALL-1,909762,Y,Y,N,N,Y,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension
NK-92MI,1330981,Y,Y,N,N,Y,lymphoma,lymphoid_neoplasm other,,MSS/MSI-L,D/F12,Suspension
MDA-MB-175-VII,908120,Y,Y,N,N,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent
YMB-1-E,1303911,Y,Y,N,N,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent
VMRC-RCW,1240224,Y,Y,N,N,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent
NCI-H460,905943,Y,Y,N,N,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent
RERF-LC-FM,930081,Y,Y,N,Y,N,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension
D-245MG,946366,Y,Y,N,Y,N,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent
Hs939-T,1298144,Y,Y,N,N,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
VMRC-MELG,930301,Y,Y,N,N,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent
OVCA433,1480367,Y,Y,N,N,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent
TMK-1,1299069,Y,Y,N,N,Y,digestive_system,stomach,STAD,,R,Adherent
KP-2,1298218,Y,N,Y,N,Y,pancreas,pancreas,PAAD,,D/F12,Adherent
KO52,1330932,Y,Y,N,N,N,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,NA
SC-1,1331030,Y,Y,N,N,N,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,NA
U-CH2,1503373,Y,Y,N,N,N,bone,bone_other,,MSS/MSI-L,D/F12,Adherent
TOTAL:,,1001,996,968,957,990,,,,,,
